"Site.Name","Date","PM2.5","Ozone"
"Pitt Agri. Center",2019-07-30,29,50
"West Johnston Co.",2019-07-30,52,49
"Bryson City",2019-07-31,47,35
"Castle Hayne",2019-07-31,3,23
"Clemmons Middle",2019-07-31,49,46
"Durham Armory",2019-07-31,42,47
"Frying Pan Mountain",2019-07-31,NA,44
"Garinger High School",2019-07-31,40,46
"Hattie Avenue",2019-07-31,41,50
"Leggett",2019-07-31,39,46
"Linville Falls",2019-07-31,NA,38
"Mendenhall School",2019-07-31,39,51
"Millbrook School",2019-07-31,41,58
"Pitt Agri. Center",2019-07-31,26,42
"West Johnston Co.",2019-07-31,43,44
"Bryson City",2019-08-01,35,34
"Castle Hayne",2019-08-01,15,35
"Clemmons Middle",2019-08-01,48.5,50
"Durham Armory",2019-08-01,37.5,64
"Frying Pan Mountain",2019-08-01,NA,44
"Garinger High School",2019-08-01,42,77
"Hattie Avenue",2019-08-01,42.5,84
"Leggett",2019-08-01,46,45
"Linville Falls",2019-08-01,NA,33
"Mendenhall School",2019-08-01,39,61
"Millbrook School",2019-08-01,48.6666666666667,64
"Pitt Agri. Center",2019-08-01,40,43
"West Johnston Co.",2019-08-01,52,46
"Bryson City",2019-08-02,NA,31
"Clemmons Middle",2019-08-02,32,50
"Durham Armory",2019-08-02,25,44
"Frying Pan Mountain",2019-08-02,NA,42
"Garinger High School",2019-08-02,46,43
"Hattie Avenue",2019-08-02,28,90
"Leggett",2019-08-02,38,32
"Linville Falls",2019-08-02,NA,35
"Mendenhall School",2019-08-02,22,49
"Millbrook School",2019-08-02,31.5,46
"Pitt Agri. Center",2019-08-02,30,33
"West Johnston Co.",2019-08-02,32,44
"Bryson City",2019-08-03,NA,31
"Clemmons Middle",2019-08-03,47,45
"Durham Armory",2019-08-03,24,35
"Frying Pan Mountain",2019-08-03,NA,43
"Garinger High School",2019-08-03,50,46
"Hattie Avenue",2019-08-03,40,43
"Leggett",2019-08-03,24,30
"Linville Falls",2019-08-03,NA,28
"Mendenhall School",2019-08-03,33,43
"Millbrook School",2019-08-03,32.5,31
"Pitt Agri. Center",2019-08-03,20,30
"West Johnston Co.",2019-08-03,33,31
"Bryson City",2019-08-04,NA,28
"Clemmons Middle",2019-08-04,39,38
"Durham Armory",2019-08-04,34.5,36
"Frying Pan Mountain",2019-08-04,NA,47
"Garinger High School",2019-08-04,38.5,41
"Hattie Avenue",2019-08-04,36,43
"Leggett",2019-08-04,23,42
"Linville Falls",2019-08-04,NA,34
"Mendenhall School",2019-08-04,39,44
"Millbrook School",2019-08-04,38.6666666666667,42
"Pitt Agri. Center",2019-08-04,20,40
"West Johnston Co.",2019-08-04,31,35
"Bryson City",2019-08-05,NA,31
"Castle Hayne",2019-08-05,NA,26
"Clemmons Middle",2019-08-05,44,44
"Durham Armory",2019-08-05,27,37
"Frying Pan Mountain",2019-08-05,NA,46
"Garinger High School",2019-08-05,35,64
"Hattie Avenue",2019-08-05,43,54
"Leggett",2019-08-05,18,29
"Linville Falls",2019-08-05,NA,28
"Mendenhall School",2019-08-05,43,54
"Millbrook School",2019-08-05,30.5,35
"Pitt Agri. Center",2019-08-05,17,29
"West Johnston Co.",2019-08-05,29,32
"Bryson City",2019-08-06,38,35
"Castle Hayne",2019-08-06,25,44
"Clemmons Middle",2019-08-06,52,46
"Durham Armory",2019-08-06,24,42
"Frying Pan Mountain",2019-08-06,NA,45
"Garinger High School",2019-08-06,40,58
"Hattie Avenue",2019-08-06,46,49
"Leggett",2019-08-06,34,36
"Linville Falls",2019-08-06,NA,38
"Mendenhall School",2019-08-06,44,54
"Millbrook School",2019-08-06,37.5,47
"Pitt Agri. Center",2019-08-06,24,39
"West Johnston Co.",2019-08-06,35,44
"Bryson City",2019-08-07,43,42
"Castle Hayne",2019-08-07,22,37
"Clemmons Middle",2019-08-07,42.5,43
"Durham Armory",2019-08-07,43,44
"Frying Pan Mountain",2019-08-07,NA,44
"Garinger High School",2019-08-07,41,67
"Hattie Avenue",2019-08-07,40.5,44
"Leggett",2019-08-07,48,40
"Linville Falls",2019-08-07,NA,40
"Mendenhall School",2019-08-07,37,50
"Millbrook School",2019-08-07,51,44
"Pitt Agri. Center",2019-08-07,NA,38
"West Johnston Co.",2019-08-07,51,44
"Bryson City",2019-08-08,39,36
"Castle Hayne",2019-08-08,36,44
"Clemmons Middle",2019-08-08,38,46
"Durham Armory",2019-08-08,26,46
"Frying Pan Mountain",2019-08-08,NA,50
"Garinger High School",2019-08-08,40,44
"Hattie Avenue",2019-08-08,31,46
"Leggett",2019-08-08,38,47
"Linville Falls",2019-08-08,NA,40
"Mendenhall School",2019-08-08,28,49
"Millbrook School",2019-08-08,34,50
"Pitt Agri. Center",2019-08-08,NA,48
"West Johnston Co.",2019-08-08,32,47
"Bryson City",2019-08-09,41,39
"Castle Hayne",2019-08-09,55,50
"Clemmons Middle",2019-08-09,42,44
"Durham Armory",2019-08-09,35,61
"Frying Pan Mountain",2019-08-09,NA,46
"Garinger High School",2019-08-09,44,112
"Hattie Avenue",2019-08-09,38,44
"Leggett",2019-08-09,43,49
"Linville Falls",2019-08-09,NA,41
"Mendenhall School",2019-08-09,38,47
"Millbrook School",2019-08-09,50.5,71
"Pitt Agri. Center",2019-08-09,NA,71
"West Johnston Co.",2019-08-09,51,58
"Bryson City",2019-08-10,41,32
"Castle Hayne",2019-08-10,52,44
"Clemmons Middle",2019-08-10,44,48
"Durham Armory",2019-08-10,40.5,47
"Frying Pan Mountain",2019-08-10,NA,41
"Garinger High School",2019-08-10,51,44
"Hattie Avenue",2019-08-10,44,54
"Leggett",2019-08-10,41,42
"Linville Falls",2019-08-10,NA,30
"Mendenhall School",2019-08-10,40,46
"Millbrook School",2019-08-10,52,51
"Pitt Agri. Center",2019-08-10,NA,44
"West Johnston Co.",2019-08-10,54,49
"Bryson City",2019-08-11,NA,33
"Castle Hayne",2019-08-11,23,45
"Clemmons Middle",2019-08-11,43,48
"Durham Armory",2019-08-11,36,44
"Frying Pan Mountain",2019-08-11,NA,31
"Garinger High School",2019-08-11,46,42
"Hattie Avenue",2019-08-11,36,47
"Leggett",2019-08-11,37,44
"Linville Falls",2019-08-11,NA,33
"Mendenhall School",2019-08-11,40,41
"Millbrook School",2019-08-11,46.5,45
"Pitt Agri. Center",2019-08-11,NA,46
"West Johnston Co.",2019-08-11,47,44
"Bryson City",2019-08-12,NA,36
"Castle Hayne",2019-08-12,12,39
"Clemmons Middle",2019-08-12,54,44
"Durham Armory",2019-08-12,37,64
"Frying Pan Mountain",2019-08-12,NA,41
"Garinger High School",2019-08-12,51,47
"Hattie Avenue",2019-08-12,44,47
"Leggett",2019-08-12,40,44
"Linville Falls",2019-08-12,NA,36
"Mendenhall School",2019-08-12,42,44
"Millbrook School",2019-08-12,44.5,48
"Pitt Agri. Center",2019-08-12,NA,45
"West Johnston Co.",2019-08-12,40,46
"Bryson City",2019-08-13,NA,36
"Castle Hayne",2019-08-13,21,40
"Clemmons Middle",2019-08-13,46.5,44
"Durham Armory",2019-08-13,33,39
"Frying Pan Mountain",2019-08-13,NA,45
"Garinger High School",2019-08-13,42.5,41
"Hattie Avenue",2019-08-13,43.5,44
"Leggett",2019-08-13,35,41
"Linville Falls",2019-08-13,NA,31
"Mendenhall School",2019-08-13,45,50
"Millbrook School",2019-08-13,40,40
"Pitt Agri. Center",2019-08-13,NA,43
"West Johnston Co.",2019-08-13,39,42
"Bryson City",2019-08-14,26,32
"Castle Hayne",2019-08-14,31,39
"Clemmons Middle",2019-08-14,32,39
"Durham Armory",2019-08-14,20,45
"Frying Pan Mountain",2019-08-14,NA,42
"Garinger High School",2019-08-14,29,49
"Hattie Avenue",2019-08-14,28,43
"Leggett",2019-08-14,35,42
"Linville Falls",2019-08-14,NA,32
"Mendenhall School",2019-08-14,30,48
"Millbrook School",2019-08-14,32.5,50
"Pitt Agri. Center",2019-08-14,NA,44
"West Johnston Co.",2019-08-14,26,41
"Bryson City",2019-08-15,35,42
"Castle Hayne",2019-08-15,28,33
"Clemmons Middle",2019-08-15,40,51
"Durham Armory",2019-08-15,33,48
"Frying Pan Mountain",2019-08-15,NA,51
"Garinger High School",2019-08-15,40,105
"Hattie Avenue",2019-08-15,34,50
"Leggett",2019-08-15,28,41
"Mendenhall School",2019-08-15,42,67
"Millbrook School",2019-08-15,37.5,51
"Pitt Agri. Center",2019-08-15,NA,41
"West Johnston Co.",2019-08-15,37,43
"Bryson City",2019-08-16,34,39
"Castle Hayne",2019-08-16,3,31
"Clemmons Middle",2019-08-16,41,67
"Durham Armory",2019-08-16,22.5,44
"Frying Pan Mountain",2019-08-16,NA,47
"Garinger High School",2019-08-16,40,100
"Hattie Avenue",2019-08-16,35.5,51
"Leggett",2019-08-16,21,31
"Linville Falls",2019-08-16,NA,40
"Mendenhall School",2019-08-16,31,45
"Millbrook School",2019-08-16,34.3333333333333,40
"Pitt Agri. Center",2019-08-16,NA,25
"West Johnston Co.",2019-08-16,29,33
"Bryson City",2019-08-17,34,35
"Castle Hayne",2019-08-17,3,24
"Clemmons Middle",2019-08-17,42,41
"Durham Armory",2019-08-17,15,45
"Frying Pan Mountain",2019-08-17,NA,44
"Garinger High School",2019-08-17,34,43
"Hattie Avenue",2019-08-17,35,44
"Leggett",2019-08-17,27,29
"Linville Falls",2019-08-17,NA,37
"Mendenhall School",2019-08-17,30,44
"Millbrook School",2019-08-17,27.6666666666667,40
"Pitt Agri. Center",2019-08-17,NA,31
"West Johnston Co.",2019-08-17,22,32
"Bryson City",2019-08-18,39,36
"Castle Hayne",2019-08-18,18,27
"Clemmons Middle",2019-08-18,41,42
"Durham Armory",2019-08-18,22,42
"Frying Pan Mountain",2019-08-18,NA,50
"Garinger High School",2019-08-18,34,54
"Hattie Avenue",2019-08-18,37,51
"Leggett",2019-08-18,21,31
"Linville Falls",2019-08-18,NA,33
"Mendenhall School",2019-08-18,34,51
"Millbrook School",2019-08-18,32,44
"Pitt Agri. Center",2019-08-18,NA,25
"West Johnston Co.",2019-08-18,24,37
"Bryson City",2019-08-19,40,33
"Castle Hayne",2019-08-19,22,32
"Clemmons Middle",2019-08-19,39.5,47
"Durham Armory",2019-08-19,36.5,44
"Frying Pan Mountain",2019-08-19,NA,47
"Garinger High School",2019-08-19,39,46
"Hattie Avenue",2019-08-19,38.5,58
"Leggett",2019-08-19,41,37
"Linville Falls",2019-08-19,NA,27
"Mendenhall School",2019-08-19,33,74
"Millbrook School",2019-08-19,45.3333333333333,46
"Pitt Agri. Center",2019-08-19,NA,39
"West Johnston Co.",2019-08-19,43,36
"Bryson City",2019-08-20,37,31
"Castle Hayne",2019-08-20,40,28
"Clemmons Middle",2019-08-20,35,38
"Durham Armory",2019-08-20,28,31
"Frying Pan Mountain",2019-08-20,NA,44
"Garinger High School",2019-08-20,27,30
"Hattie Avenue",2019-08-20,30,40
"Leggett",2019-08-20,38,34
"Linville Falls",2019-08-20,NA,33
"Mendenhall School",2019-08-20,31,40
"Millbrook School",2019-08-20,39,37
"Pitt Agri. Center",2019-08-20,36,34
"West Johnston Co.",2019-08-20,39,31
"Bryson City",2019-08-21,30,36
"Clemmons Middle",2019-08-21,30,41
"Durham Armory",2019-08-21,15,39
"Frying Pan Mountain",2019-08-21,NA,44
"Garinger High School",2019-08-21,22,41
"Hattie Avenue",2019-08-21,27,43
"Leggett",2019-08-21,45,37
"Linville Falls",2019-08-21,NA,35
"Mendenhall School",2019-08-21,24,49
"Millbrook School",2019-08-21,32.5,42
"Pitt Agri. Center",2019-08-21,40,31
"West Johnston Co.",2019-08-21,38,37
"Bryson City",2019-08-22,38,28
"Castle Hayne",2019-08-22,NA,30
"Clemmons Middle",2019-08-22,38,39
"Durham Armory",2019-08-22,29,36
"Frying Pan Mountain",2019-08-22,NA,36
"Garinger High School",2019-08-22,36,41
"Hattie Avenue",2019-08-22,35,41
"Leggett",2019-08-22,38,43
"Linville Falls",2019-08-22,NA,22
"Mendenhall School",2019-08-22,29,45
"Millbrook School",2019-08-22,37,43
"Pitt Agri. Center",2019-08-22,30,44
"West Johnston Co.",2019-08-22,39,36
"Bryson City",2019-08-23,27,25
"Castle Hayne",2019-08-23,0,24
"Clemmons Middle",2019-08-23,25,36
"Durham Armory",2019-08-23,17,40
"Frying Pan Mountain",2019-08-23,NA,30
"Garinger High School",2019-08-23,25,44
"Hattie Avenue",2019-08-23,23,37
"Leggett",2019-08-23,31,35
"Linville Falls",2019-08-23,NA,31
"Mendenhall School",2019-08-23,21,44
"Millbrook School",2019-08-23,34.5,38
"Pitt Agri. Center",2019-08-23,26,30
"West Johnston Co.",2019-08-23,33,28
"Bryson City",2019-08-24,27,26
"Castle Hayne",2019-08-24,10,26
"Clemmons Middle",2019-08-24,21,23
"Durham Armory",2019-08-24,11,21
"Frying Pan Mountain",2019-08-24,NA,31
"Garinger High School",2019-08-24,16,26
"Hattie Avenue",2019-08-24,20,24
"Leggett",2019-08-24,23,19
"Linville Falls",2019-08-24,NA,29
"Mendenhall School",2019-08-24,13,23
"Millbrook School",2019-08-24,17,23
"Pitt Agri. Center",2019-08-24,26,23
"West Johnston Co.",2019-08-24,23,21
"Bryson City",2019-08-25,23,23
"Castle Hayne",2019-08-25,5,26
"Clemmons Middle",2019-08-25,26,32
"Durham Armory",2019-08-25,17,32
"Frying Pan Mountain",2019-08-25,NA,30
"Garinger High School",2019-08-25,21.5,31
"Hattie Avenue",2019-08-25,24,34
"Leggett",2019-08-25,18,25
"Linville Falls",2019-08-25,NA,29
"Mendenhall School",2019-08-25,18,31
"Millbrook School",2019-08-25,19.6666666666667,33
"Pitt Agri. Center",2019-08-25,20,30
"West Johnston Co.",2019-08-25,22,31
"Bryson City",2019-08-26,28,22
"Castle Hayne",2019-08-26,1,30
"Clemmons Middle",2019-08-26,25,30
"Durham Armory",2019-08-26,6,24
"Frying Pan Mountain",2019-08-26,NA,29
"Garinger High School",2019-08-26,20,27
"Hattie Avenue",2019-08-26,23,29
"Leggett",2019-08-26,16,19
"Linville Falls",2019-08-26,NA,30
"Mendenhall School",2019-08-26,14,31
"Millbrook School",2019-08-26,19.5,25
"Pitt Agri. Center",2019-08-26,20,26
"West Johnston Co.",2019-08-26,17,25
"Bryson City",2019-08-27,17,19
"Castle Hayne",2019-08-27,0,27
"Clemmons Middle",2019-08-27,31,25
"Durham Armory",2019-08-27,9,29
"Frying Pan Mountain",2019-08-27,NA,31
"Garinger High School",2019-08-27,23,28
"Hattie Avenue",2019-08-27,29,25
"Leggett",2019-08-27,21,25
"Linville Falls",2019-08-27,NA,25
"Mendenhall School",2019-08-27,18,28
"Millbrook School",2019-08-27,22,30
"Pitt Agri. Center",2019-08-27,26,27
"West Johnston Co.",2019-08-27,23,30
"Bryson City",2019-08-28,23,39
"Castle Hayne",2019-08-28,15,30
"Clemmons Middle",2019-08-28,30,31
"Durham Armory",2019-08-28,18.5,31
"Frying Pan Mountain",2019-08-28,NA,41
"Garinger High School",2019-08-28,26.5,40
"Hattie Avenue",2019-08-28,27,34
"Leggett",2019-08-28,33,27
"Linville Falls",2019-08-28,NA,36
"Mendenhall School",2019-08-28,22,32
"Millbrook School",2019-08-28,26.3333333333333,37
"Pitt Agri. Center",2019-08-28,33,30
"West Johnston Co.",2019-08-28,25,32
"Bryson City",2019-08-29,28,32
"Castle Hayne",2019-08-29,18,45
"Clemmons Middle",2019-08-29,25,43
"Durham Armory",2019-08-29,13,45
"Frying Pan Mountain",2019-08-29,NA,45
"Garinger High School",2019-08-29,29,50
"Hattie Avenue",2019-08-29,25,44
"Leggett",2019-08-29,24,40
"Linville Falls",2019-08-29,NA,36
"Mendenhall School",2019-08-29,20,44
"Millbrook School",2019-08-29,24.5,49
"Pitt Agri. Center",2019-08-29,35,44
"West Johnston Co.",2019-08-29,28,45
"Bryson City",2019-08-30,23,30
"Castle Hayne",2019-08-30,14,49
"Clemmons Middle",2019-08-30,27,44
"Durham Armory",2019-08-30,16,44
"Frying Pan Mountain",2019-08-30,NA,64
"Garinger High School",2019-08-30,44,101
"Hattie Avenue",2019-08-30,30,49
"Leggett",2019-08-30,30,50
"Linville Falls",2019-08-30,NA,38
"Mendenhall School",2019-08-30,29,46
"Millbrook School",2019-08-30,31.5,80
"Pitt Agri. Center",2019-08-30,43,54
"West Johnston Co.",2019-08-30,38,58
"Bryson City",2019-08-31,38,38
"Castle Hayne",2019-08-31,11,47
"Clemmons Middle",2019-08-31,45.5,64
"Durham Armory",2019-08-31,30.5,51
"Frying Pan Mountain",2019-08-31,NA,67
"Garinger High School",2019-08-31,48,50
"Hattie Avenue",2019-08-31,39,77
"Leggett",2019-08-31,35,44
"Linville Falls",2019-08-31,NA,46
"Mendenhall School",2019-08-31,32,74
"Millbrook School",2019-08-31,40,54
"Pitt Agri. Center",2019-08-31,46,46
"West Johnston Co.",2019-08-31,42,48
"Bryson City",2019-09-01,NA,38
"Castle Hayne",2019-09-01,5,31
"Clemmons Middle",2019-09-01,38,41
"Durham Armory",2019-09-01,24,38
"Frying Pan Mountain",2019-09-01,NA,43
"Garinger High School",2019-09-01,34,37
"Hattie Avenue",2019-09-01,34,40
"Leggett",2019-09-01,27,38
"Linville Falls",2019-09-01,NA,38
"Mendenhall School",2019-09-01,28,37
"Millbrook School",2019-09-01,29.5,40
"Pitt Agri. Center",2019-09-01,32,38
"West Johnston Co.",2019-09-01,31,36
"Bryson City",2019-09-02,NA,34
"Castle Hayne",2019-09-02,2,24
"Clemmons Middle",2019-09-02,32,39
"Durham Armory",2019-09-02,13,31
"Frying Pan Mountain",2019-09-02,NA,44
"Garinger High School",2019-09-02,25,35
"Hattie Avenue",2019-09-02,29,43
"Leggett",2019-09-02,26,29
"Linville Falls",2019-09-02,NA,32
"Mendenhall School",2019-09-02,18,36
"Millbrook School",2019-09-02,27,31
"Pitt Agri. Center",2019-09-02,31,29
"West Johnston Co.",2019-09-02,25,30
"Bryson City",2019-09-03,NA,33
"Clemmons Middle",2019-09-03,47,51
"Durham Armory",2019-09-03,25.5,37
"Frying Pan Mountain",2019-09-03,NA,44
"Garinger High School",2019-09-03,39,48
"Hattie Avenue",2019-09-03,43,51
"Leggett",2019-09-03,22,30
"Linville Falls",2019-09-03,NA,33
"Mendenhall School",2019-09-03,29,41
"Millbrook School",2019-09-03,34.6666666666667,39
"Pitt Agri. Center",2019-09-03,25,27
"West Johnston Co.",2019-09-03,28,34
"Bryson City",2019-09-04,43,31
"Clemmons Middle",2019-09-04,47,44
"Durham Armory",2019-09-04,29,34
"Frying Pan Mountain",2019-09-04,NA,44
"Garinger High School",2019-09-04,37,37
"Hattie Avenue",2019-09-04,44,80
"Linville Falls",2019-09-04,NA,34
"Mendenhall School",2019-09-04,32,47
"Millbrook School",2019-09-04,30.5,26
"Bryson City",2019-09-05,45,41
"Clemmons Middle",2019-09-05,35,32
"Frying Pan Mountain",2019-09-05,NA,44
"Garinger High School",2019-09-05,23,30
"Hattie Avenue",2019-09-05,33,34
"Linville Falls",2019-09-05,NA,34
"Mendenhall School",2019-09-05,25,36
"Bryson City",2019-09-06,39,37
"Clemmons Middle",2019-09-06,33.5,42
"Durham Armory",2019-09-06,NA,44
"Frying Pan Mountain",2019-09-06,NA,51
"Garinger High School",2019-09-06,36,54
"Hattie Avenue",2019-09-06,30,43
"Leggett",2019-09-06,NA,33
"Linville Falls",2019-09-06,NA,43
"Mendenhall School",2019-09-06,30,44
"Millbrook School",2019-09-06,NA,44
"West Johnston Co.",2019-09-06,NA,44
"Bryson City",2019-09-07,41,43
"Clemmons Middle",2019-09-07,37,44
"Durham Armory",2019-09-07,34.5,49
"Frying Pan Mountain",2019-09-07,NA,48
"Garinger High School",2019-09-07,49,87
"Hattie Avenue",2019-09-07,35,45
"Leggett",2019-09-07,NA,44
"Linville Falls",2019-09-07,NA,44
"Mendenhall School",2019-09-07,26,46
"Millbrook School",2019-09-07,38.5,54
"West Johnston Co.",2019-09-07,49,50
"Bryson City",2019-09-08,38,36
"Clemmons Middle",2019-09-08,43,50
"Durham Armory",2019-09-08,49,43
"Frying Pan Mountain",2019-09-08,NA,44
"Garinger High School",2019-09-08,51,77
"Hattie Avenue",2019-09-08,39,51
"Leggett",2019-09-08,55,33
"Linville Falls",2019-09-08,NA,41
"Mendenhall School",2019-09-08,38,54
"Millbrook School",2019-09-08,57.5,42
"West Johnston Co.",2019-09-08,66,33
"Bryson City",2019-09-09,32,31
"Clemmons Middle",2019-09-09,59,77
"Durham Armory",2019-09-09,53.5,32
"Frying Pan Mountain",2019-09-09,NA,67
"Garinger High School",2019-09-09,59,129
"Hattie Avenue",2019-09-09,53,74
"Leggett",2019-09-09,44,31
"Linville Falls",2019-09-09,NA,43
"Mendenhall School",2019-09-09,56,47
"Millbrook School",2019-09-09,56.3333333333333,32
"West Johnston Co.",2019-09-09,57,34
"Bryson City",2019-09-10,43,46
"Castle Hayne",2019-09-10,NA,33
"Clemmons Middle",2019-09-10,61,51
"Durham Armory",2019-09-10,34,44
"Frying Pan Mountain",2019-09-10,NA,47
"Garinger High School",2019-09-10,60,49
"Hattie Avenue",2019-09-10,56,74
"Leggett",2019-09-10,29,33
"Linville Falls",2019-09-10,NA,44
"Mendenhall School",2019-09-10,52,54
"Millbrook School",2019-09-10,38.5,38
"Pitt Agri. Center",2019-09-10,NA,27
"West Johnston Co.",2019-09-10,40,36
"Bryson City",2019-09-11,52,38
"Castle Hayne",2019-09-11,2,37
"Clemmons Middle",2019-09-11,62,67
"Durham Armory",2019-09-11,42,46
"Frying Pan Mountain",2019-09-11,NA,71
"Garinger High School",2019-09-11,59,126
"Hattie Avenue",2019-09-11,58,97
"Leggett",2019-09-11,34,35
"Linville Falls",2019-09-11,NA,33
"Mendenhall School",2019-09-11,53,84
"Millbrook School",2019-09-11,50.5,54
"Pitt Agri. Center",2019-09-11,NA,45
"West Johnston Co.",2019-09-11,42,41
"Bryson City",2019-09-12,51,32
"Castle Hayne",2019-09-12,11,42
"Clemmons Middle",2019-09-12,57,61
"Durham Armory",2019-09-12,56.5,58
"Frying Pan Mountain",2019-09-12,NA,58
"Garinger High School",2019-09-12,56,67
"Hattie Avenue",2019-09-12,55,51
"Leggett",2019-09-12,56,47
"Linville Falls",2019-09-12,NA,37
"Mendenhall School",2019-09-12,42,50
"Millbrook School",2019-09-12,63,74
"Pitt Agri. Center",2019-09-12,51,46
"West Johnston Co.",2019-09-12,58,64
"Bryson City",2019-09-13,54,34
"Castle Hayne",2019-09-13,7,34
"Clemmons Middle",2019-09-13,52,43
"Durham Armory",2019-09-13,40,41
"Frying Pan Mountain",2019-09-13,NA,45
"Garinger High School",2019-09-13,52,44
"Hattie Avenue",2019-09-13,48,43
"Leggett",2019-09-13,29,31
"Linville Falls",2019-09-13,NA,44
"Mendenhall School",2019-09-13,36,31
"Millbrook School",2019-09-13,47,40
"Pitt Agri. Center",2019-09-13,35,35
"West Johnston Co.",2019-09-13,48,37
"Bryson City",2019-09-14,45,34
"Castle Hayne",2019-09-14,17,31
"Clemmons Middle",2019-09-14,36,38
"Durham Armory",2019-09-14,20,33
"Frying Pan Mountain",2019-09-14,NA,48
"Garinger High School",2019-09-14,26,34
"Hattie Avenue",2019-09-14,34,40
"Leggett",2019-09-14,25,29
"Linville Falls",2019-09-14,NA,31
"Mendenhall School",2019-09-14,26,33
"Millbrook School",2019-09-14,31,32
"Pitt Agri. Center",2019-09-14,21,31
"West Johnston Co.",2019-09-14,28,31
"Bryson City",2019-09-15,41,32
"Castle Hayne",2019-09-15,0,27
"Clemmons Middle",2019-09-15,45,44
"Durham Armory",2019-09-15,33.5,35
"Frying Pan Mountain",2019-09-15,NA,47
"Garinger High School",2019-09-15,41.5,43
"Hattie Avenue",2019-09-15,43.5,45
"Leggett",2019-09-15,18,25
"Linville Falls",2019-09-15,NA,31
"Mendenhall School",2019-09-15,36,41
"Millbrook School",2019-09-15,22.3333333333333,31
"Pitt Agri. Center",2019-09-15,15,28
"West Johnston Co.",2019-09-15,27,30
"Bryson City",2019-09-16,27,39
"Castle Hayne",2019-09-16,2,29
"Clemmons Middle",2019-09-16,41,49
"Durham Armory",2019-09-16,26,40
"Frying Pan Mountain",2019-09-16,NA,64
"Garinger High School",2019-09-16,38,54
"Hattie Avenue",2019-09-16,37,51
"Leggett",2019-09-16,27,32
"Linville Falls",2019-09-16,NA,40
"Mendenhall School",2019-09-16,35,NA
"Millbrook School",2019-09-16,37.5,41
"Pitt Agri. Center",2019-09-16,23,34
"West Johnston Co.",2019-09-16,33,37
"Bryson City",2019-09-17,43,43
"Castle Hayne",2019-09-17,11,40
"Clemmons Middle",2019-09-17,49,61
"Durham Armory",2019-09-17,28,41
"Frying Pan Mountain",2019-09-17,NA,50
"Garinger High School",2019-09-17,53,108
"Hattie Avenue",2019-09-17,44,61
"Leggett",2019-09-17,24,36
"Linville Falls",2019-09-17,NA,41
"Mendenhall School",2019-09-17,39,NA
"Millbrook School",2019-09-17,35.5,41
"Pitt Agri. Center",2019-09-17,23,39
"West Johnston Co.",2019-09-17,34,40
"Bryson City",2019-09-18,47,35
"Castle Hayne",2019-09-18,8,34
"Clemmons Middle",2019-09-18,29,42
"Durham Armory",2019-09-18,17,44
"Frying Pan Mountain",2019-09-18,NA,36
"Garinger High School",2019-09-18,26.5,42
"Hattie Avenue",2019-09-18,29,43
"Leggett",2019-09-18,17,31
"Linville Falls",2019-09-18,NA,35
"Mendenhall School",2019-09-18,23,NA
"Millbrook School",2019-09-18,21.3333333333333,42
"Pitt Agri. Center",2019-09-18,17,32
"West Johnston Co.",2019-09-18,16,40
"Bryson City",2019-09-19,37,31
"Castle Hayne",2019-09-19,3,35
"Clemmons Middle",2019-09-19,27,44
"Durham Armory",2019-09-19,10,38
"Frying Pan Mountain",2019-09-19,NA,42
"Garinger High School",2019-09-19,23,44
"Hattie Avenue",2019-09-19,25,43
"Leggett",2019-09-19,18,34
"Linville Falls",2019-09-19,NA,31
"Mendenhall School",2019-09-19,16,42
"Millbrook School",2019-09-19,22.6666666666667,36
"Pitt Agri. Center",2019-09-19,20,34
"West Johnston Co.",2019-09-19,19,36
"Bryson City",2019-09-20,41,37
"Castle Hayne",2019-09-20,0,32
"Clemmons Middle",2019-09-20,33,42
"Durham Armory",2019-09-20,21,49
"Frying Pan Mountain",2019-09-20,NA,49
"Garinger High School",2019-09-20,35,46
"Hattie Avenue",2019-09-20,35,48
"Leggett",2019-09-20,14,32
"Linville Falls",2019-09-20,NA,40
"Mendenhall School",2019-09-20,29,61
"Millbrook School",2019-09-20,20.5,44
"Pitt Agri. Center",2019-09-20,24,36
"West Johnston Co.",2019-09-20,24,40
"Bryson City",2019-09-21,39,32
"Castle Hayne",2019-09-21,4,41
"Clemmons Middle",2019-09-21,46,51
"Durham Armory",2019-09-21,37,49
"Frying Pan Mountain",2019-09-21,NA,49
"Garinger High School",2019-09-21,55.5,51
"Hattie Avenue",2019-09-21,45,64
"Leggett",2019-09-21,30,41
"Linville Falls",2019-09-21,NA,29
"Mendenhall School",2019-09-21,36,80
"Millbrook School",2019-09-21,36.6666666666667,48
"Pitt Agri. Center",2019-09-21,39,41
"West Johnston Co.",2019-09-21,45,42
"Bryson City",2019-09-22,45,36
"Castle Hayne",2019-09-22,4,40
"Clemmons Middle",2019-09-22,51,51
"Durham Armory",2019-09-22,40,47
"Frying Pan Mountain",2019-09-22,NA,44
"Garinger High School",2019-09-22,46,45
"Hattie Avenue",2019-09-22,45,58
"Leggett",2019-09-22,35,38
"Linville Falls",2019-09-22,NA,47
"Mendenhall School",2019-09-22,34,64
"Millbrook School",2019-09-22,37,45
"Pitt Agri. Center",2019-09-22,28,41
"West Johnston Co.",2019-09-22,43,40
"Bryson City",2019-09-23,38,32
"Castle Hayne",2019-09-23,6,41
