"Site.Name","Date","PM2.5","Ozone"
"Garinger High School",2018-02-05,24,31
"Hattie Avenue",2018-02-05,22,NA
"Leggett",2018-02-05,10,NA
"Mendenhall School",2018-02-05,25,NA
"Millbrook School",2018-02-05,30,29
"West Johnston Co.",2018-02-05,16,NA
"Bryson City",2018-02-06,58,NA
"Castle Hayne",2018-02-06,8,NA
"Clemmons Middle",2018-02-06,43,NA
"Durham Armory",2018-02-06,43,NA
"Garinger High School",2018-02-06,36,24
"Hattie Avenue",2018-02-06,37,NA
"Leggett",2018-02-06,26,NA
"Mendenhall School",2018-02-06,38,NA
"Millbrook School",2018-02-06,45,32
"West Johnston Co.",2018-02-06,38,NA
"Bryson City",2018-02-07,29,NA
"Castle Hayne",2018-02-07,6,NA
"Clemmons Middle",2018-02-07,33,NA
"Durham Armory",2018-02-07,25,NA
"Frying Pan Mountain",2018-02-07,2,NA
"Garinger High School",2018-02-07,25.5,23
"Hattie Avenue",2018-02-07,23.5,NA
"Leggett",2018-02-07,21,NA
"Linville Falls",2018-02-07,9,NA
"Mendenhall School",2018-02-07,27,NA
"Millbrook School",2018-02-07,25.5,32
"Pitt Agri. Center",2018-02-07,19,NA
"West Johnston Co.",2018-02-07,35,NA
"Bryson City",2018-02-08,23,NA
"Castle Hayne",2018-02-08,15,NA
"Clemmons Middle",2018-02-08,33,NA
"Durham Armory",2018-02-08,38,NA
"Garinger High School",2018-02-08,28,31
"Hattie Avenue",2018-02-08,32,NA
"Leggett",2018-02-08,28,NA
"Mendenhall School",2018-02-08,27,NA
"Millbrook School",2018-02-08,36,28
"West Johnston Co.",2018-02-08,25,NA
"Bryson City",2018-02-09,33,NA
"Castle Hayne",2018-02-09,21,NA
"Clemmons Middle",2018-02-09,60,NA
"Durham Armory",2018-02-09,52,NA
"Garinger High School",2018-02-09,42,35
"Hattie Avenue",2018-02-09,53,NA
"Leggett",2018-02-09,30,NA
"Mendenhall School",2018-02-09,54,NA
"Millbrook School",2018-02-09,49,36
"West Johnston Co.",2018-02-09,47,NA
"Bryson City",2018-02-10,38,NA
"Castle Hayne",2018-02-10,0,NA
"Clemmons Middle",2018-02-10,57,NA
"Durham Armory",2018-02-10,37.5,NA
"Frying Pan Mountain",2018-02-10,1,NA
"Garinger High School",2018-02-10,37,17
