"Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-05-22,"AQS",370030005,1,0.036,"ppm",33,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-23,"AQS",370030005,1,0.04,"ppm",37,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-24,"AQS",370030005,1,0.052,"ppm",48,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-25,"AQS",370030005,1,0.034,"ppm",31,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-26,"AQS",370030005,1,0.026,"ppm",24,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-27,"AQS",370030005,1,0.027,"ppm",25,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-28,"AQS",370030005,1,0.02,"ppm",19,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-29,"AQS",370030005,1,0.026,"ppm",24,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-30,"AQS",370030005,1,0.026,"ppm",24,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-31,"AQS",370030005,1,0.036,"ppm",33,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-01,"AQS",370030005,1,0.041,"ppm",38,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-02,"AQS",370030005,1,0.04,"ppm",37,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-03,"AQS",370030005,1,0.048,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-04,"AQS",370030005,1,0.056,"ppm",54,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-05,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-06,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-07,"AQS",370030005,1,0.055,"ppm",51,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-08,"AQS",370030005,1,0.063,"ppm",77,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-09,"AQS",370030005,1,0.064,"ppm",80,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-10,"AQS",370030005,1,0.051,"ppm",47,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-11,"AQS",370030005,1,0.043,"ppm",40,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-12,"AQS",370030005,1,0.03,"ppm",28,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-13,"AQS",370030005,1,0.039,"ppm",36,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-14,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-15,"AQS",370030005,1,0.053,"ppm",49,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-16,"AQS",370030005,1,0.07,"ppm",100,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-17,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-18,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-19,"AQS",370030005,1,0.041,"ppm",38,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-20,"AQS",370030005,1,0.031,"ppm",29,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-21,"AQS",370030005,1,0.024,"ppm",22,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-22,"AQS",370030005,1,0.044,"ppm",41,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-23,"AQS",370030005,1,0.04,"ppm",37,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-06-24,"AQS",370030005,1,0.037,"ppm",34,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
